Frequency,Magnitude
733.47,68008.697155
734.82,67648.055903
736.17,67312.420650
737.51,66865.103910
738.86,66667.857715
740.20,66425.594994
741.55,66080.933494
742.90,65870.502041
744.24,65667.776595
745.59,65505.632652
746.93,65284.888009
748.28,65123.795268
749.62,64878.083028
750.97,64818.910158
752.32,64651.839747
753.66,64407.468587
755.01,64394.914345
756.35,64240.911215
757.70,64267.608382
759.05,64040.034559
760.39,63854.933891
761.74,63718.071745
763.08,63602.762784
764.43,63450.949290
765.77,63280.974619
767.12,63083.224785
768.47,62924.094616
769.81,62688.818422
771.16,62528.219555
772.50,62373.452621
773.85,62177.645951
775.20,61958.254560
776.54,61708.733645
777.89,61487.904923
779.23,61326.841998
780.58,61049.308561
781.92,60915.787936
783.27,60632.055205
784.62,60447.262502
785.96,60193.291212
787.31,60198.115519
788.65,59957.936537
790.00,59794.434408
791.35,59637.291702
792.69,59470.521762
794.04,59345.873025
795.38,59233.646628
796.73,59168.994626
798.07,58994.444609
799.42,58925.359903
800.77,58811.078889
802.11,58711.025787
803.46,58594.300953
804.80,58604.630215
806.15,58445.177090
807.50,58350.874602
808.84,58251.146014
810.19,58196.875707
811.53,58031.215325
812.88,57820.317951
814.22,57735.046084
815.57,57590.206029
816.92,57353.203194
818.26,57301.912057
819.61,57097.151370
820.95,56945.043454
822.30,56722.124601
823.65,56556.395595
824.99,56374.988510
826.34,56112.748970
827.68,55819.120345
829.03,55658.525349
830.37,55409.461253
831.72,55187.480112
833.07,54978.964604
834.41,54763.967128
835.76,54513.362934
837.10,54338.094932
838.45,54064.280500
839.79,53926.500893
841.14,53745.808828
842.49,53587.515048
843.83,53457.045443
845.18,53382.498270
846.52,53232.169617
847.87,53085.465297
849.22,53017.201424
850.56,52988.905231
851.91,52923.526418
853.25,52885.353552
854.60,52814.612816
855.94,52834.141042
857.29,52819.574497
858.64,52829.454083
859.98,52842.848480
861.33,52822.836736
862.67,52786.348303
864.02,52865.559598
865.37,52838.248206
866.71,52797.421571
868.06,52916.227623
869.40,52738.799006
870.75,52720.747243
872.09,52637.187299
873.44,52597.443170
874.79,52452.659226
876.13,52370.613173
877.48,52214.810673
878.82,52122.793965
880.17,51906.964739
881.52,51818.549425
882.86,51660.297414
884.21,51454.544684
885.55,51251.719436
886.90,51095.773086
888.24,50892.885259
889.59,50701.495618
890.94,50460.511872
892.28,50215.688062
893.63,49984.120532
894.97,49872.643434
896.32,49676.636592
897.67,49519.506582
899.01,49313.924272
900.36,49134.162926
901.70,48997.751876
903.05,48859.699247
904.39,48720.979623
905.74,48646.852514
907.09,48501.247211
